
Promedio1,Promedio2,PROMEDIO3,PROMEDIO4,PromedioFinal,PUESTO1,PUESTO2,PUESTO3,PUESTO4,PuestoFinal,NUMHERMANO,ESTRATO,ViveconMadre,ViveconPadre,ViveconAmbos,ViveconOtros,Casados,Solteros,Separados,Viudo,UnionLibre,NumGrado,Edad,Hombre,Mujer,Bajo,Intermedio,Notable,Alto
38.700,38.400,37.300,38.200,38.300,14,17,20,17,17,4 ,1,1,0,0,0,0,0,1,0,0,3,9,0,1,0,0,1,0
38.100,37.000,37.100,36.200,37.200,14,13,16,24,16,2 ,2,0,0,1,0,1,0,0,0,0,5,11,0,1,0,0,1,0
32.909,33.818,35.000,34.364,34.091,24,20,17,21,21,2 ,2,0,0,1,0,1,0,0,0,0,10,12,0,1,0,1,0,0
37.091,39.818,38.364,36.000,37.818,7,5,9,12,6,2 ,2,0,0,1,0,1,0,0,0,0,8,13,0,1,0,0,1,0
36.700,38.200,40.800,40.300,39.000,17,18,11,15,15,2 ,2,0,0,1,0,1,0,0,0,0,4,9,0,1,0,0,1,0
45.273,46.400,44.182,45.273,45.273,0,3,2,4,3,1 ,2,1,0,0,0,0,1,0,0,0,3,8,0,1,0,0,0,1
42.800,43.300,44.500,45.600,44.100,5,7,4,4,4,1 ,2,1,0,0,0,0,1,0,0,0,3,9,0,1,0,0,0,1
32.091,33.000,33.091,30.909,32.455,26,21,24,24,22,1 ,2,0,0,1,0,0,0,0,0,1,7,13,0,1,0,1,0,0
33.000,32.000,31.300,31.800,32.000,23,26,24,29,27,1 ,2,0,0,1,0,0,0,0,0,1,4,9,0,1,0,1,0,0
40.667,37.500,40.500,39.500,39.542,11,20,11,14,1,1 ,2,0,0,1,0,1,0,0,0,0,11,15,0,1,0,0,1,0
41.833,42.417,40.833,42.917,42.167,3,3,4,3,3,1 ,2,0,0,1,0,1,0,0,0,0,10,14,0,1,0,0,0,1
44.455,44.182,43.545,44.455,44.364,2,3,2,3,2,1 ,2,0,0,1,0,1,0,0,0,0,7,11,0,1,0,0,0,1
34.909,40.364,44.182,44.182,41.091,24,13,9,9,14,1 ,2,0,0,1,0,0,0,0,0,1,3,7,1,0,0,0,0,1
37.545,39.273,34.182,37.727,37.273,21,14,23,16,20,1 ,2,0,0,1,0,0,0,0,0,1,7,11,1,0,0,0,1,0
45.500,47.600,46.600,45.600,46.500,2,1,1,1,1,2 ,3,0,0,1,0,0,0,0,0,1,4,9,1,0,0,0,0,1
34.400,35.300,34.600,34.000,34.500,23,20,22,25,24,2 ,1,1,0,0,0,0,0,1,0,0,5,11,1,0,0,1,0,0
34.545,31.909,27.636,30.818,31.273,15,24,28,28,22,2 ,2,1,0,0,0,0,0,0,1,0,8,14,1,0,0,1,0,0
44.900,46.200,45.000,46.200,45.700,9,5,3,4,6,1 ,2,1,0,0,0,0,1,0,0,0,2,7,1,0,0,0,0,1
43.600,35.500,39.600,43.300,40.600,14,21,18,15,17,2 ,2,0,0,1,0,1,0,0,0,0,2,7,0,1,0,0,0,1
37.000,39.000,37.800,35.900,37.800,17,11,13,21,14,2 ,2,0,0,1,0,1,0,0,0,0,6,11,0,1,0,0,1,0
35.500,37.500,36.600,34.400,36.100,22,13,21,26,21,3 ,2,0,0,1,0,0,0,0,0,1,5,10,1,0,0,0,1,0
33.667,25.583,.000,29.750,22.250,20,28,1,28,0,3 ,2,0,0,1,0,0,0,0,0,1,9,15,1,0,1,0,0,0
34.727,32.455,35.273,34.182,34.159,19,23,14,20,1,3 ,2,0,0,1,0,0,0,0,0,1,8,14,1,0,0,1,0,0
35.700,36.800,38.000,34.000,36.300,15,13,13,22,13,2 ,2,0,1,0,0,0,0,0,0,1,5,10,1,0,0,0,1,0
33.727,30.636,33.818,33.636,33.182,19,23,16,23,20,2 ,2,0,1,0,0,0,0,0,0,1,10,12,1,0,0,1,0,0
35.700,36.800,38.000,34.000,36.300,15,13,13,22,13,2 ,2,0,1,0,0,0,0,0,0,1,9,10,1,0,0,0,1,0
36.100,36.200,36.100,37.700,36.700,20,20,22,17,24,2 ,2,0,1,0,0,0,0,0,0,1,9,11,1,0,0,0,1,0
43.100,40.900,42.200,40.900,42.000,3,7,4,7,4,3 ,2,1,0,0,0,0,0,1,0,0,5,9,0,1,0,0,0,1
41.833,43.000,.000,42.500,31.833,4,3,1,4,0,3 ,2,1,0,0,0,0,0,1,0,0,10,14,0,1,0,1,0,0
40.300,43.100,42.700,43.300,42.300,6,5,4,4,5,3 ,2,1,0,0,0,0,0,1,0,0,6,10,0,1,0,0,0,1
41.273,42.455,42.091,42.545,42.091,3,3,3,2,2,3 ,2,1,0,0,0,0,0,1,0,0,8,12,0,1,0,0,0,1
40.000,40.455,42.545,41.000,41.091,4,3,3,2,2,3 ,2,1,0,0,0,0,0,1,0,0,7,11,0,1,0,0,0,1
42.800,41.600,43.800,44.700,43.400,6,9,8,8,7,3 ,2,1,0,0,0,0,0,1,0,0,4,8,0,1,0,0,0,1
31.900,30.200,33.200,33.900,32.400,28,25,24,23,23,0 ,1,1,0,0,0,0,1,0,0,0,4,8,1,0,0,1,0,0
40.300,41.500,40.900,36.400,40.000,14,11,8,19,12,1 ,1,0,1,0,0,0,0,1,0,0,2,7,0,1,0,0,1,0
32.000,31.800,30.000,33.300,31.900,27,23,32,25,25,1 ,1,0,1,0,0,0,0,1,0,0,4,9,0,1,0,1,0,0
31.400,30.200,36.600,37.800,34.100,28,31,27,26,30,2 ,2,0,0,1,0,0,0,0,0,1,2,7,0,1,0,1,0,0
35.500,37.636,40.583,37.833,37.888,17,11,4,7,1,1 ,2,1,0,0,0,0,0,1,0,0,9,13,0,1,0,0,1,0
29.182,32.818,32.364,34.091,32.273,26,18,20,19,21,1 ,2,1,0,0,0,0,0,1,0,0,8,12,0,1,0,1,0,0
