
Grupo,PROMEDIO1,PROMEDIO2,PROMEDIO3,PromedioFinal,PUESTO1,PUESTO2,PUESTO3,PUESTO4,PuestoFinal,NUMHERMANO,ESTRATO,Viveconmadre,Viveconpadre,ViveconAmbos,ViveconOtros,Casados,Solteros,Separados,UnionLibre,Viudo,RetiradoCluster,Numgrado,Edad,Hombre,Mujer
3 ,39.700,37.200,34.900,37.800,9,17,18,11,15,3 ,2,0,0,1,0,1,0,0,0,0,0,5,11,0,1
1 ,35.545,36.909,38.091,37.727,9,4,3,2,4,3 ,2,0,0,1,0,1,0,0,0,0,0,7,14,0,1
5 ,33.455,34.833,34.750,.000,23,24,23,24,1,4 ,2,0,0,1,0,1,0,0,0,0,0,11,18,1,0
1 ,37.545,38.364,34.455,36.818,13,10,14,13,12,4 ,2,0,0,1,0,1,0,0,0,0,0,7,13,1,0
1 ,38.200,35.000,39.600,38.200,15,24,14,19,19,0 ,2,0,0,0,0,0,0,0,0,0,0,2,7,0,1
1 ,38.818,35.909,35.364,36.909,17,25,23,21,21,0 ,2,0,0,0,0,0,0,0,0,0,0,3,8,0,1
4 ,40.182,37.545,34.091,36.909,6,11,16,19,11,2 ,3,0,0,1,0,1,0,0,0,0,0,8,11,1,0
1 ,40.200,41.700,41.600,41.300,7,4,3,3,4,2 ,3,0,0,1,0,1,0,0,0,0,0,4,8,1,0
2 ,34.700,37.200,33.200,35.600,19,17,26,22,22,2 ,2,0,0,1,0,1,0,0,0,0,0,6,10,0,1
1 ,36.000,34.273,37.455,36.545,21,29,14,18,21,2 ,2,0,0,1,0,1,0,0,0,0,0,8,12,0,1
4 ,41.500,37.250,35.167,.000,9,18,27,18,1,4 ,2,1,0,0,0,0,0,1,0,0,0,11,17,0,1
2 ,33.727,32.000,34.636,33.455,20,22,18,22,22,3 ,2,0,0,1,0,1,0,0,0,0,0,8,15,1,0
2 ,42.900,41.400,42.900,42.500,9,10,5,8,9,1 ,2,1,0,0,0,0,0,1,0,0,0,5,10,0,1
5 ,34.250,34.083,39.000,36.500,19,22,6,10,13,1 ,2,1,0,0,0,0,0,0,0,1,0,10,15,1,0
1 ,35.600,35.600,38.000,36.000,23,22,18,27,25,1 ,2,1,0,0,0,0,0,0,0,1,0,2,6,1,0
2 ,36.364,35.455,38.545,37.364,18,21,12,18,17,1 ,2,1,0,0,0,0,0,0,0,1,0,7,12,1,0
4 ,28.083,29.833,.000,.000,27,23,1,29,0,1 ,3,1,0,0,0,0,1,0,0,0,0,11,17,1,0
3 ,34.917,33.583,32.583,34.000,19,15,23,19,20,1 ,3,1,0,0,0,0,1,0,0,0,0,9,14,1,0
1 ,36.083,36.667,39.750,37.833,16,13,4,6,8,2 ,2,0,0,1,0,1,0,0,0,0,0,9,14,0,1
2 ,37.273,38.455,42.273,39.909,16,14,6,4,7,2 ,2,0,0,1,0,1,0,0,0,0,0,8,13,0,1
4 ,38.000,38.750,30.500,.000,14,13,26,17,1,2 ,2,1,0,0,0,0,1,0,0,0,0,10,17,1,0
3 ,36.583,30.167,31.083,32.833,16,29,28,27,28,2 ,2,1,0,0,0,0,1,0,0,0,0,9,14,1,0
2 ,35.000,34.727,37.636,36.273,26,27,16,21,19,2 ,2,1,0,0,0,0,1,0,0,0,0,8,13,1,0
1 ,33.182,33.727,32.364,33.818,20,17,16,15,15,3 ,2,1,0,0,0,0,0,1,0,0,0,7,13,1,0
2 ,40.000,38.000,33.273,36.545,7,14,19,27,15,3 ,2,1,0,0,0,0,0,1,0,0,0,7,11,1,0
1 ,31.000,32.818,33.545,33.818,23,23,22,12,22,1 ,1,1,0,0,0,0,1,0,0,0,0,8,15,1,0
1 ,33.400,34.200,37.400,36.600,29,27,21,15,23,1 ,2,0,0,1,0,0,0,0,1,0,0,2,7,0,1
3 ,36.182,37.273,31.727,35.273,16,17,27,22,19,1 ,2,0,0,1,0,0,0,0,1,0,1,8,14,0,1
3 ,41.273,38.273,41.091,39.727,9,14,9,17,12,1 ,2,0,0,1,0,0,0,0,1,0,0,7,13,0,1
4 ,36.667,32.917,36.333,34.833,3,8,7,14,5,3 ,2,0,0,1,0,1,0,0,0,0,0,9,15,0,1
4 ,35.545,36.909,38.091,37.727,9,4,3,2,4,3 ,2,0,0,1,0,1,0,0,0,0,0,8,14,0,1
2 ,41.750,39.250,.000,.000,10,12,1,11,0,3 ,2,0,0,1,0,1,0,0,0,0,0,12,18,0,1
1 ,37.200,34.800,35.000,36.500,20,25,26,18,21,1 ,2,1,0,0,0,0,0,1,0,0,0,5,10,0,1
3 ,36.200,35.400,38.700,37.500,20,22,16,17,17,1 ,2,1,0,0,0,0,0,1,0,0,0,6,12,0,1
4 ,35.455,35.091,35.727,35.909,13,16,11,8,12,1 ,2,1,0,0,0,0,0,1,0,0,0,7,13,0,1
1 ,36.600,35.300,34.100,35.800,14,18,20,12,20,1 ,2,1,0,0,0,0,0,1,0,0,0,4,9,0,1
1 ,40.100,40.900,42.400,41.500,11,9,7,7,9,2 ,3,0,0,1,0,1,0,0,0,0,0,2,6,1,0
